symbol,number,multiplicity,wyckoff,site_symmetry,coordinates
P 2/n 2/m 21/b,252,4.0,g,.2.,"(x,1/4,3/4) (-x,1/4,1/4) (-x,3/4,1/4) (x,3/4,3/4)"
P 2/n 2/m 21/b,252,4.0,f,2..,"(1/2,y,0) (1/2,-y+1/2,1/2) (1/2,-y,0) (1/2,y+1/2,1/2)"
P 2/n 2/m 21/b,252,4.0,e,2..,"(0,y,0) (0,-y+1/2,1/2) (0,-y,0) (0,y+1/2,1/2)"
P 2/n 2/m 21/b,252,2.0,d,2/m..,"(1/2,0,0) (1/2,1/2,1/2)"
P 2/n 2/m 21/b,252,2.0,c,2/m..,"(1/2,1/2,0) (1/2,0,1/2)"
P 2/n 2/m 21/b,252,2.0,b,2/m..,"(0,1/2,0) (0,0,1/2)"
P 2/n 2/m 21/b,252,2.0,a,2/m..,"(0,0,0) (0,1/2,1/2)"
P 21/b 2/m 2/n,253,8.0,i,1,"(x,y,z) (x+1/2,-y+1/2,-z) (-x+1/2,-y+1/2,z) (-x,y,-z) (-x,-y,-z) (-x+1/2,y+1/2,z) (x+1/2,y+1/2,-z) (x,-y,z)"
P 21/b 2/m 2/n,253,4.0,h,m..,"(x,0,z) (x+1/2,1/2,-z) (-x+1/2,1/2,z) (-x,0,-z)"
P 21/b 2/m 2/n,253,4.0,g,.2.,"(1/4,1/4,z) (3/4,1/4,-z) (3/4,3/4,-z) (1/4,3/4,z)"
P 21/b 2/m 2/n,253,4.0,f,2..,"(0,y,1/2) (1/2,-y+1/2,1/2) (0,-y,1/2) (1/2,y+1/2,1/2)"
P 21/b 2/m 2/n,253,4.0,e,2..,"(0,y,0) (1/2,-y+1/2,0) (0,-y,0) (1/2,y+1/2,0)"
P 21/b 2/m 2/n,253,2.0,d,2/m..,"(0,0,1/2) (1/2,1/2,1/2)"
P 21/b 2/m 2/n,253,2.0,c,2/m..,"(0,1/2,1/2) (1/2,0,1/2)"
P 21/b 2/m 2/n,253,2.0,b,2/m..,"(0,1/2,0) (1/2,0,0)"
P 21/b 2/m 2/n,253,2.0,a,2/m..,"(0,0,0) (1/2,1/2,0)"
P 21/c 2/n 2/m,254,8.0,i,1,"(x,y,z) (x+1/2,-y,-z+1/2) (-x+1/2,y,-z+1/2) (-x,-y,z) (-x,-y,-z) (-x+1/2,y,z+1/2) (x+1/2,-y,z+1/2) (x,y,-z)"
P 21/c 2/n 2/m,254,4.0,h,m..,"(x,y,0) (x+1/2,-y,1/2) (-x+1/2,y,1/2) (-x,-y,0)"
P 21/c 2/n 2/m,254,4.0,g,.2.,"(3/4,y,1/4) (1/4,-y,1/4) (1/4,-y,3/4) (3/4,y,3/4)"
P 21/c 2/n 2/m,254,4.0,f,2..,"(0,1/2,z) (1/2,1/2,-z+1/2) (0,1/2,-z) (1/2,1/2,z+1/2)"
P 21/c 2/n 2/m,254,4.0,e,2..,"(0,0,z) (1/2,0,-z+1/2) (0,0,-z) (1/2,0,z+1/2)"
P 21/c 2/n 2/m,254,2.0,d,2/m..,"(0,1/2,0) (1/2,1/2,1/2)"
P 21/c 2/n 2/m,254,2.0,c,2/m..,"(0,1/2,1/2) (1/2,1/2,0)"
P 21/c 2/n 2/m,254,2.0,b,2/m..,"(0,0,1/2) (1/2,0,0)"
P 21/c 2/n 2/m,254,2.0,a,2/m..,"(0,0,0) (1/2,0,1/2)"
P 2/n 21/c 2/m,255,8.0,i,1,"(x,y,z) (-x,y+1/2,-z+1/2) (x,-y+1/2,-z+1/2) (-x,-y,z) (-x,-y,-z) (x,-y+1/2,z+1/2) (-x,y+1/2,z+1/2) (x,y,-z)"
P 2/n 21/c 2/m,255,4.0,h,m..,"(x,y,0) (-x,y+1/2,1/2) (x,-y+1/2,1/2) (-x,-y,0)"
P 2/n 21/c 2/m,255,4.0,g,.2.,"(x,1/4,1/4) (-x,3/4,1/4) (-x,3/4,3/4) (x,1/4,3/4)"
P 2/n 21/c 2/m,255,4.0,f,2..,"(1/2,0,z) (1/2,1/2,-z+1/2) (1/2,0,-z) (1/2,1/2,z+1/2)"
P 2/n 21/c 2/m,255,4.0,e,2..,"(0,0,z) (0,1/2,-z+1/2) (0,0,-z) (0,1/2,z+1/2)"
P 2/n 21/c 2/m,255,2.0,d,2/m..,"(1/2,0,0) (1/2,1/2,1/2)"
P 2/n 21/c 2/m,255,2.0,c,2/m..,"(1/2,0,1/2) (1/2,1/2,0)"
P 2/n 21/c 2/m,255,2.0,b,2/m..,"(0,0,1/2) (0,1/2,0)"
P 2/n 21/c 2/m,255,2.0,a,2/m..,"(0,0,0) (0,1/2,1/2)"
P 2/m 21/a 2/n,256,8.0,i,1,"(x,y,z) (-x+1/2,y+1/2,-z) (-x+1/2,-y+1/2,z) (x,-y,-z) (-x,-y,-z) (x+1/2,-y+1/2,z) (x+1/2,y+1/2,-z) (-x,y,z)"
P 2/m 21/a 2/n,256,4.0,h,m..,"(0,y,z) (1/2,y+1/2,-z) (1/2,-y+1/2,z) (0,-y,-z)"
P 2/m 21/a 2/n,256,4.0,g,.2.,"(1/4,3/4,z) (1/4,1/4,-z) (3/4,1/4,-z) (3/4,3/4,z)"
P 2/m 21/a 2/n,256,4.0,f,2..,"(x,0,1/2) (-x+1/2,1/2,1/2) (-x,0,1/2) (x+1/2,1/2,1/2)"
P 2/m 21/a 2/n,256,4.0,e,2..,"(x,0,0) (-x+1/2,1/2,0) (-x,0,0) (x+1/2,1/2,0)"
P 2/m 21/a 2/n,256,2.0,d,2/m..,"(0,0,1/2) (1/2,1/2,1/2)"
P 2/m 21/a 2/n,256,2.0,c,2/m..,"(1/2,0,1/2) (0,1/2,1/2)"
P 2/m 21/a 2/n,256,2.0,b,2/m..,"(1/2,0,0) (0,1/2,0)"
P 2/m 21/a 2/n,256,2.0,a,2/m..,"(0,0,0) (1/2,1/2,0)"
P 21/c 2/c 2/a,257,8.0,f,1,"(x,y,z) (-x+1/2,-y,z) (-x,y,-z+1/2) (x+1/2,-y,-z+1/2) (-x,-y,-z) (x+1/2,y,-z) (x,-y,z+1/2) (-x+1/2,y,z+1/2)"
P 21/c 2/c 2/a,257,4.0,e,..2,"(1/4,1/2,z) (3/4,1/2,-z+1/2) (3/4,1/2,-z) (1/4,1/2,z+1/2)"
P 21/c 2/c 2/a,257,4.0,d,..2,"(1/4,0,z) (3/4,0,-z+1/2) (3/4,0,-z) (1/4,0,z+1/2)"
P 21/c 2/c 2/a,257,4.0,c,.2.,"(0,y,1/4) (1/2,-y,1/4) (0,-y,3/4) (1/2,y,3/4)"
P 21/c 2/c 2/a,257,4.0,b,-1,"(0,1/2,0) (1/2,1/2,0) (0,1/2,1/2) (1/2,1/2,1/2)"
P 21/c 2/c 2/a,257,4.0,a,-1,"(0,0,0) (1/2,0,0) (0,0,1/2) (1/2,0,1/2)"
P 2/c 21/c 2/b,258,8.0,f,1,"(x,y,z) (-x,-y+1/2,z) (x,-y,-z+1/2) (-x,y+1/2,-z+1/2) (-x,-y,-z) (x,y+1/2,-z) (-x,y,z+1/2) (x,-y+1/2,z+1/2)"
P 2/c 21/c 2/b,258,4.0,e,..2,"(1/2,1/4,z) (1/2,3/4,-z+1/2) (1/2,3/4,-z) (1/2,1/4,z+1/2)"
P 2/c 21/c 2/b,258,4.0,d,..2,"(0,1/4,z) (0,3/4,-z+1/2) (0,3/4,-z) (0,1/4,z+1/2)"
P 2/c 21/c 2/b,258,4.0,c,.2.,"(x,0,3/4) (-x,1/2,3/4) (-x,0,1/4) (x,1/2,1/4)"
P 2/c 21/c 2/b,258,4.0,b,-1,"(1/2,0,0) (1/2,1/2,0) (1/2,0,1/2) (1/2,1/2,1/2)"
P 2/c 21/c 2/b,258,4.0,a,-1,"(0,0,0) (0,1/2,0) (0,0,1/2) (0,1/2,1/2)"
P 2/b 21/a 2/a,259,8.0,f,1,"(x,y,z) (x,-y+1/2,-z) (-x+1/2,-y,z) (-x+1/2,y+1/2,-z) (-x,-y,-z) (-x,y+1/2,z) (x+1/2,y,-z) (x+1/2,-y+1/2,z)"
P 2/b 21/a 2/a,259,4.0,e,..2,"(x,1/4,1/2) (-x+1/2,3/4,1/2) (-x,3/4,1/2) (x+1/2,1/4,1/2)"
P 2/b 21/a 2/a,259,4.0,d,..2,"(x,1/4,0) (-x+1/2,3/4,0) (-x,3/4,0) (x+1/2,1/4,0)"
P 2/b 21/a 2/a,259,4.0,c,.2.,"(1/4,0,z) (1/4,1/2,-z) (3/4,0,-z) (3/4,1/2,z)"
P 2/b 21/a 2/a,259,4.0,b,-1,"(0,0,1/2) (0,1/2,1/2) (1/2,0,1/2) (1/2,1/2,1/2)"
P 2/b 21/a 2/a,259,4.0,a,-1,"(0,0,0) (0,1/2,0) (1/2,0,0) (1/2,1/2,0)"
P 2/c 2/a 21/a,260,8.0,f,1,"(x,y,z) (x,-y,-z+1/2) (-x+1/2,y,-z) (-x+1/2,-y,z+1/2) (-x,-y,-z) (-x,y,z+1/2) (x+1/2,-y,z) (x+1/2,y,-z+1/2)"
P 2/c 2/a 21/a,260,4.0,e,..2,"(x,1/2,1/4) (-x+1/2,1/2,3/4) (-x,1/2,3/4) (x+1/2,1/2,1/4)"
P 2/c 2/a 21/a,260,4.0,d,..2,"(x,0,1/4) (-x+1/2,0,3/4) (-x,0,3/4) (x+1/2,0,1/4)"
P 2/c 2/a 21/a,260,4.0,c,.2.,"(3/4,y,0) (3/4,-y,1/2) (1/4,-y,0) (1/4,y,1/2)"
P 2/c 2/a 21/a,260,4.0,b,-1,"(0,1/2,0) (0,1/2,1/2) (1/2,1/2,0) (1/2,1/2,1/2)"
P 2/c 2/a 21/a,260,4.0,a,-1,"(0,0,0) (0,0,1/2) (1/2,0,0) (1/2,0,1/2)"
P 2/b 2/c 21/b,261,8.0,f,1,"(x,y,z) (-x,y,-z+1/2) (x,-y+1/2,-z) (-x,-y+1/2,z+1/2) (-x,-y,-z) (x,-y,z+1/2) (-x,y+1/2,z) (x,y+1/2,-z+1/2)"
P 2/b 2/c 21/b,261,4.0,e,..2,"(1/2,y,1/4) (1/2,-y+1/2,3/4) (1/2,-y,3/4) (1/2,y+1/2,1/4)"
P 2/b 2/c 21/b,261,4.0,d,..2,"(0,y,1/4) (0,-y+1/2,3/4) (0,-y,3/4) (0,y+1/2,1/4)"
P 2/b 2/c 21/b,261,4.0,c,.2.,"(x,1/4,0) (-x,1/4,1/2) (-x,3/4,0) (x,3/4,1/2)"
P 2/b 2/c 21/b,261,4.0,b,-1,"(1/2,0,0) (1/2,0,1/2) (1/2,1/2,0) (1/2,1/2,1/2)"
P 2/b 2/c 21/b,261,4.0,a,-1,"(0,0,0) (0,0,1/2) (0,1/2,0) (0,1/2,1/2)"
P 21/b 2/a 2/b,262,8.0,f,1,"(x,y,z) (-x+1/2,y,-z) (-x,-y+1/2,z) (x+1/2,-y+1/2,-z) (-x,-y,-z) (x+1/2,-y,z) (x,y+1/2,-z) (-x+1/2,y+1/2,z)"
P 21/b 2/a 2/b,262,4.0,e,..2,"(1/4,y,1/2) (3/4,-y+1/2,1/2) (3/4,-y,1/2) (1/4,y+1/2,1/2)"
P 21/b 2/a 2/b,262,4.0,d,..2,"(1/4,y,0) (3/4,-y+1/2,0) (3/4,-y,0) (1/4,y+1/2,0)"
P 21/b 2/a 2/b,262,4.0,c,.2.,"(0,3/4,z) (1/2,3/4,-z) (0,1/4,-z) (1/2,1/4,z)"
P 21/b 2/a 2/b,262,4.0,b,-1,"(0,0,1/2) (1/2,0,1/2) (0,1/2,1/2) (1/2,1/2,1/2)"
P 21/b 2/a 2/b,262,4.0,a,-1,"(0,0,0) (1/2,0,0) (0,1/2,0) (1/2,1/2,0)"
P 21/b 21/a 2/m,263,8.0,i,1,"(x,y,z) (-x,-y,z) (-x+1/2,y+1/2,-z) (x+1/2,-y+1/2,-z) (-x,-y,-z) (x,y,-z) (x+1/2,-y+1/2,z) (-x+1/2,y+1/2,z)"
P 21/b 21/a 2/m,263,4.0,h,..m,"(x,y,1/2) (-x,-y,1/2) (-x+1/2,y+1/2,1/2) (x+1/2,-y+1/2,1/2)"
P 21/b 21/a 2/m,263,4.0,g,..m,"(x,y,0) (-x,-y,0) (-x+1/2,y+1/2,0) (x+1/2,-y+1/2,0)"
P 21/b 21/a 2/m,263,4.0,f,..2,"(0,1/2,z) (1/2,0,-z) (0,1/2,-z) (1/2,0,z)"
P 21/b 21/a 2/m,263,4.0,e,..2,"(0,0,z) (1/2,1/2,-z) (0,0,-z) (1/2,1/2,z)"
P 21/b 21/a 2/m,263,2.0,d,..2/m,"(0,1/2,1/2) (1/2,0,1/2)"
P 21/b 21/a 2/m,263,2.0,c,..2/m,"(0,1/2,0) (1/2,0,0)"
P 21/b 21/a 2/m,263,2.0,b,..2/m,"(0,0,1/2) (1/2,1/2,1/2)"
P 21/b 21/a 2/m,263,2.0,a,..2/m,"(0,0,0) (1/2,1/2,0)"
P 2/m 21/c 21/b,264,8.0,i,1,"(x,y,z) (x,-y,-z) (-x,-y+1/2,z+1/2) (-x,y+1/2,-z+1/2) (-x,-y,-z) (-x,y,z) (x,y+1/2,-z+1/2) (x,-y+1/2,z+1/2)"
P 2/m 21/c 21/b,264,4.0,h,..m,"(1/2,y,z) (1/2,-y,-z) (1/2,-y+1/2,z+1/2) (1/2,y+1/2,-z+1/2)"
P 2/m 21/c 21/b,264,4.0,g,..m,"(0,y,z) (0,-y,-z) (0,-y+1/2,z+1/2) (0,y+1/2,-z+1/2)"
P 2/m 21/c 21/b,264,4.0,f,..2,"(x,0,1/2) (-x,1/2,0) (-x,0,1/2) (x,1/2,0)"
P 2/m 21/c 21/b,264,4.0,e,..2,"(x,0,0) (-x,1/2,1/2) (-x,0,0) (x,1/2,1/2)"
P 2/m 21/c 21/b,264,2.0,d,..2/m,"(1/2,0,1/2) (1/2,1/2,0)"
P 2/m 21/c 21/b,264,2.0,c,..2/m,"(0,0,1/2) (0,1/2,0)"
P 2/m 21/c 21/b,264,2.0,b,..2/m,"(1/2,0,0) (1/2,1/2,1/2)"
P 2/m 21/c 21/b,264,2.0,a,..2/m,"(0,0,0) (0,1/2,1/2)"
P 21/c 2/m 21/a,265,8.0,i,1,"(x,y,z) (-x,y,-z) (x+1/2,-y,-z+1/2) (-x+1/2,-y,z+1/2) (-x,-y,-z) (x,-y,z) (-x+1/2,y,z+1/2) (x+1/2,y,-z+1/2)"
P 21/c 2/m 21/a,265,4.0,h,..m,"(x,1/2,z) (-x,1/2,-z) (x+1/2,1/2,-z+1/2) (-x+1/2,1/2,z+1/2)"
P 21/c 2/m 21/a,265,4.0,g,..m,"(x,0,z) (-x,0,-z) (x+1/2,0,-z+1/2) (-x+1/2,0,z+1/2)"
P 21/c 2/m 21/a,265,4.0,f,..2,"(1/2,y,0) (0,-y,1/2) (1/2,-y,0) (0,y,1/2)"
P 21/c 2/m 21/a,265,4.0,e,..2,"(0,y,0) (1/2,-y,1/2) (0,-y,0) (1/2,y,1/2)"
P 21/c 2/m 21/a,265,2.0,d,..2/m,"(1/2,1/2,0) (0,1/2,1/2)"
P 21/c 2/m 21/a,265,2.0,c,..2/m,"(1/2,0,0) (0,0,1/2)"
P 21/c 2/m 21/a,265,2.0,b,..2/m,"(0,1/2,0) (1/2,1/2,1/2)"
P 21/c 2/m 21/a,265,2.0,a,..2/m,"(0,0,0) (1/2,0,1/2)"
P 21/c 21/c 2/n,266,8.0,e,1,"(x,y,z) (-x+1/2,-y+1/2,z) (-x,y+1/2,-z+1/2) (x+1/2,-y,-z+1/2) (-x,-y,-z) (x+1/2,y+1/2,-z) (x,-y+1/2,z+1/2) (-x+1/2,y,z+1/2)"
P 21/c 21/c 2/n,266,4.0,d,..2,"(1/4,3/4,z) (3/4,1/4,-z+1/2) (3/4,1/4,-z) (1/4,3/4,z+1/2)"
P 21/c 21/c 2/n,266,4.0,c,..2,"(1/4,1/4,z) (3/4,3/4,-z+1/2) (3/4,3/4,-z) (1/4,1/4,z+1/2)"
P 21/c 21/c 2/n,266,4.0,b,-1,"(0,0,1/2) (1/2,1/2,1/2) (0,1/2,0) (1/2,0,0)"
P 21/c 21/c 2/n,266,4.0,a,-1,"(0,0,0) (1/2,1/2,0) (0,1/2,1/2) (1/2,0,1/2)"
P 2/n 21/a 21/a,267,8.0,e,1,"(x,y,z) (x,-y+1/2,-z+1/2) (-x+1/2,-y,z+1/2) (-x+1/2,y+1/2,-z) (-x,-y,-z) (-x,y+1/2,z+1/2) (x+1/2,y,-z+1/2) (x+1/2,-y+1/2,z)"
P 2/n 21/a 21/a,267,4.0,d,..2,"(x,1/4,3/4) (-x+1/2,3/4,1/4) (-x,3/4,1/4) (x+1/2,1/4,3/4)"
P 2/n 21/a 21/a,267,4.0,c,..2,"(x,1/4,1/4) (-x+1/2,3/4,3/4) (-x,3/4,3/4) (x+1/2,1/4,1/4)"
P 2/n 21/a 21/a,267,4.0,b,-1,"(1/2,0,0) (1/2,1/2,1/2) (0,0,1/2) (0,1/2,0)"
P 2/n 21/a 21/a,267,4.0,a,-1,"(0,0,0) (0,1/2,1/2) (1/2,0,1/2) (1/2,1/2,0)"
P 21/b 2/n 21/b,268,8.0,e,1,"(x,y,z) (-x+1/2,y,-z+1/2) (x+1/2,-y+1/2,-z) (-x,-y+1/2,z+1/2) (-x,-y,-z) (x+1/2,-y,z+1/2) (-x+1/2,y+1/2,z) (x,y+1/2,-z+1/2)"
P 21/b 2/n 21/b,268,4.0,d,..2,"(3/4,y,1/4) (1/4,-y+1/2,3/4) (1/4,-y,3/4) (3/4,y+1/2,1/4)"
P 21/b 2/n 21/b,268,4.0,c,..2,"(1/4,y,1/4) (3/4,-y+1/2,3/4) (3/4,-y,3/4) (1/4,y+1/2,1/4)"
P 21/b 2/n 21/b,268,4.0,b,-1,"(0,1/2,0) (1/2,1/2,1/2) (1/2,0,0) (0,0,1/2)"
P 21/b 2/n 21/b,268,4.0,a,-1,"(0,0,0) (1/2,0,1/2) (1/2,1/2,0) (0,1/2,1/2)"
P 2/b 21/c 21/m,269,8.0,e,1,"(x,y,z) (-x,-y,z+1/2) (-x,y+1/2,-z+1/2) (x,-y+1/2,-z) (-x,-y,-z) (x,y,-z+1/2) (x,-y+1/2,z+1/2) (-x,y+1/2,z)"
P 2/b 21/c 21/m,269,4.0,d,..m,"(x,y,1/4) (-x,-y,3/4) (-x,y+1/2,1/4) (x,-y+1/2,3/4)"
P 2/b 21/c 21/m,269,4.0,c,2..,"(x,1/4,0) (-x,3/4,1/2) (-x,3/4,0) (x,1/4,1/2)"
P 2/b 21/c 21/m,269,4.0,b,-1,"(1/2,0,0) (1/2,0,1/2) (1/2,1/2,1/2) (1/2,1/2,0)"
P 2/b 21/c 21/m,269,4.0,a,-1,"(0,0,0) (0,0,1/2) (0,1/2,1/2) (0,1/2,0)"
P 21/c 2/a 21/m,270,8.0,e,1,"(x,y,z) (-x,-y,z+1/2) (x+1/2,-y,-z+1/2) (-x+1/2,y,-z) (-x,-y,-z) (x,y,-z+1/2) (-x+1/2,y,z+1/2) (x+1/2,-y,z)"
P 21/c 2/a 21/m,270,4.0,d,..m,"(x,y,3/4) (-x,-y,1/4) (x+1/2,-y,3/4) (-x+1/2,y,1/4)"
P 21/c 2/a 21/m,270,4.0,c,2..,"(1/4,y,0) (3/4,-y,1/2) (3/4,-y,0) (1/4,y,1/2)"
P 21/c 2/a 21/m,270,4.0,b,-1,"(0,1/2,0) (0,1/2,1/2) (1/2,1/2,1/2) (1/2,1/2,0)"
P 21/c 2/a 21/m,270,4.0,a,-1,"(0,0,0) (0,0,1/2) (1/2,0,1/2) (1/2,0,0)"
P 21/m 2/c 21/a,271,8.0,e,1,"(x,y,z) (x+1/2,-y,-z) (-x+1/2,-y,z+1/2) (-x,y,-z+1/2) (-x,-y,-z) (-x+1/2,y,z) (x+1/2,y,-z+1/2) (x,-y,z+1/2)"
P 21/m 2/c 21/a,271,4.0,d,..m,"(1/4,y,z) (3/4,-y,-z) (1/4,-y,z+1/2) (3/4,y,-z+1/2)"
P 21/m 2/c 21/a,271,4.0,c,2..,"(0,y,1/4) (1/2,-y,3/4) (0,-y,3/4) (1/2,y,1/4)"
P 21/m 2/c 21/a,271,4.0,b,-1,"(0,1/2,0) (1/2,1/2,0) (1/2,1/2,1/2) (0,1/2,1/2)"
P 21/m 2/c 21/a,271,4.0,a,-1,"(0,0,0) (1/2,0,0) (1/2,0,1/2) (0,0,1/2)"
P 21/m 21/a 2/b,272,8.0,e,1,"(x,y,z) (x+1/2,-y,-z) (-x+1/2,y+1/2,-z) (-x,-y+1/2,z) (-x,-y,-z) (-x+1/2,y,z) (x+1/2,-y+1/2,z) (x,y+1/2,-z)"
P 21/m 21/a 2/b,272,4.0,d,..m,"(3/4,y,z) (1/4,-y,-z) (3/4,y+1/2,-z) (1/4,-y+1/2,z)"
P 21/m 21/a 2/b,272,4.0,c,2..,"(0,1/4,z) (1/2,3/4,-z) (0,3/4,-z) (1/2,1/4,z)"
P 21/m 21/a 2/b,272,4.0,b,-1,"(0,0,1/2) (1/2,0,1/2) (1/2,1/2,1/2) (0,1/2,1/2)"
P 21/m 21/a 2/b,272,4.0,a,-1,"(0,0,0) (1/2,0,0) (1/2,1/2,0) (0,1/2,0)"
P 21/b 21/m 2/a,273,8.0,e,1,"(x,y,z) (-x,y+1/2,-z) (x+1/2,-y+1/2,-z) (-x+1/2,-y,z) (-x,-y,-z) (x,-y+1/2,z) (-x+1/2,y+1/2,z) (x+1/2,y,-z)"
P 21/b 21/m 2/a,273,4.0,d,..m,"(x,1/4,z) (-x,3/4,-z) (x+1/2,1/4,-z) (-x+1/2,3/4,z)"
P 21/b 21/m 2/a,273,4.0,c,2..,"(1/4,0,z) (3/4,1/2,-z) (3/4,0,-z) (1/4,1/2,z)"
P 21/b 21/m 2/a,273,4.0,b,-1,"(0,0,1/2) (0,1/2,1/2) (1/2,1/2,1/2) (1/2,0,1/2)"
P 21/b 21/m 2/a,273,4.0,a,-1,"(0,0,0) (0,1/2,0) (1/2,1/2,0) (1/2,0,0)"
P 2/c 21/m 21/b,274,8.0,e,1,"(x,y,z) (-x,y+1/2,-z) (-x,-y+1/2,z+1/2) (x,-y,-z+1/2) (-x,-y,-z) (x,-y+1/2,z) (x,y+1/2,-z+1/2) (-x,y,z+1/2)"
P 2/c 21/m 21/b,274,4.0,d,..m,"(x,3/4,z) (-x,1/4,-z) (-x,3/4,z+1/2) (x,1/4,-z+1/2)"
P 2/c 21/m 21/b,274,4.0,c,2..,"(x,0,1/4) (-x,1/2,3/4) (-x,0,3/4) (x,1/2,1/4)"
P 2/c 21/m 21/b,274,4.0,b,-1,"(1/2,0,0) (1/2,1/2,0) (1/2,1/2,1/2) (1/2,0,1/2)"
P 2/c 21/m 21/b,274,4.0,a,-1,"(0,0,0) (0,1/2,0) (0,1/2,1/2) (0,0,1/2)"
P 21/n 21/n 2/m,275,8.0,h,1,"(x,y,z) (-x,-y,z) (-x+1/2,y+1/2,-z+1/2) (x+1/2,-y+1/2,-z+1/2) (-x,-y,-z) (x,y,-z) (x+1/2,-y+1/2,z+1/2) (-x+1/2,y+1/2,z+1/2)"
P 21/n 21/n 2/m,275,4.0,g,..m,"(x,y,0) (-x,-y,0) (-x+1/2,y+1/2,1/2) (x+1/2,-y+1/2,1/2)"
P 21/n 21/n 2/m,275,4.0,f,..2,"(0,1/2,z) (1/2,0,-z+1/2) (0,1/2,-z) (1/2,0,z+1/2)"
P 21/n 21/n 2/m,275,4.0,e,..2,"(0,0,z) (1/2,1/2,-z+1/2) (0,0,-z) (1/2,1/2,z+1/2)"
P 21/n 21/n 2/m,275,2.0,d,..2/m,"(0,1/2,1/2) (1/2,0,0)"
P 21/n 21/n 2/m,275,2.0,c,..2/m,"(0,1/2,0) (1/2,0,1/2)"
P 21/n 21/n 2/m,275,2.0,b,..2/m,"(0,0,1/2) (1/2,1/2,0)"
P 21/n 21/n 2/m,275,2.0,a,..2/m,"(0,0,0) (1/2,1/2,1/2)"
P 2/m 21/n 21/n,276,8.0,h,1,"(x,y,z) (x,-y,-z) (-x+1/2,-y+1/2,z+1/2) (-x+1/2,y+1/2,-z+1/2) (-x,-y,-z) (-x,y,z) (x+1/2,y+1/2,-z+1/2) (x+1/2,-y+1/2,z+1/2)"
P 2/m 21/n 21/n,276,4.0,g,..m,"(0,y,z) (0,-y,-z) (1/2,-y+1/2,z+1/2) (1/2,y+1/2,-z+1/2)"
P 2/m 21/n 21/n,276,4.0,f,..2,"(x,0,1/2) (-x+1/2,1/2,0) (-x,0,1/2) (x+1/2,1/2,0)"
P 2/m 21/n 21/n,276,4.0,e,..2,"(x,0,0) (-x+1/2,1/2,1/2) (-x,0,0) (x+1/2,1/2,1/2)"
P 2/m 21/n 21/n,276,2.0,d,..2/m,"(1/2,0,1/2) (0,1/2,0)"
P 2/m 21/n 21/n,276,2.0,c,..2/m,"(0,0,1/2) (1/2,1/2,0)"
P 2/m 21/n 21/n,276,2.0,b,..2/m,"(1/2,0,0) (0,1/2,1/2)"
P 2/m 21/n 21/n,276,2.0,a,..2/m,"(0,0,0) (1/2,1/2,1/2)"
P 21/n 2/m 21/n,277,8.0,h,1,"(x,y,z) (-x,y,-z) (x+1/2,-y+1/2,-z+1/2) (-x+1/2,-y+1/2,z+1/2) (-x,-y,-z) (x,-y,z) (-x+1/2,y+1/2,z+1/2) (x+1/2,y+1/2,-z+1/2)"
P 21/n 2/m 21/n,277,4.0,g,..m,"(x,0,z) (-x,0,-z) (x+1/2,1/2,-z+1/2) (-x+1/2,1/2,z+1/2)"
P 21/n 2/m 21/n,277,4.0,f,..2,"(1/2,y,0) (0,-y+1/2,1/2) (1/2,-y,0) (0,y+1/2,1/2)"
P 21/n 2/m 21/n,277,4.0,e,..2,"(0,y,0) (1/2,-y+1/2,1/2) (0,-y,0) (1/2,y+1/2,1/2)"
P 21/n 2/m 21/n,277,2.0,d,..2/m,"(1/2,1/2,0) (0,0,1/2)"
P 21/n 2/m 21/n,277,2.0,c,..2/m,"(1/2,0,0) (0,1/2,1/2)"
P 21/n 2/m 21/n,277,2.0,b,..2/m,"(0,1/2,0) (1/2,0,1/2)"
P 21/n 2/m 21/n,277,2.0,a,..2/m,"(0,0,0) (1/2,1/2,1/2)"
P 21/m 21/m 2/n,278,8.0,g,1,"(x,y,z) (-x,-y,z) (-x+1/2,y+1/2,-z) (x+1/2,-y+1/2,-z) (-x+1/2,-y+1/2,-z) (x+1/2,y+1/2,-z) (x,-y,z) (-x,y,z)"
P 21/m 21/m 2/n,278,4.0,f,.m.,"(x,0,z) (-x,0,z) (-x+1/2,1/2,-z) (x+1/2,1/2,-z)"
P 21/m 21/m 2/n,278,4.0,e,m..,"(0,y,z) (0,-y,z) (1/2,y+1/2,-z) (1/2,-y+1/2,-z)"
P 21/m 21/m 2/n,278,4.0,d,-1,"(1/4,1/4,1/2) (3/4,3/4,1/2) (1/4,3/4,1/2) (3/4,1/4,1/2)"
P 21/m 21/m 2/n,278,4.0,c,-1,"(1/4,1/4,0) (3/4,3/4,0) (1/4,3/4,0) (3/4,1/4,0)"
P 21/m 21/m 2/n,278,2.0,b,mm2,"(0,1/2,z) (1/2,0,-z)"
P 21/m 21/m 2/n,278,2.0,a,mm2,"(0,0,z) (1/2,1/2,-z)"
P 21/m 21/m 2/n,279,8.0,g,1,"(x,y,z) (-x+1/2,-y+1/2,z) (-x,y+1/2,-z) (x+1/2,-y,-z) (-x,-y,-z) (x+1/2,y+1/2,-z) (x,-y+1/2,z) (-x+1/2,y,z)"
P 21/m 21/m 2/n,279,4.0,f,.m.,"(x,1/4,z) (-x+1/2,1/4,z) (-x,3/4,-z) (x+1/2,3/4,-z)"
