symbol,number,multiplicity,wyckoff,site_symmetry,coordinates
B m 1 1,36,4.0,b,1,"(x,y,z) (-x,y,z)"
B m 1 1,36,2.0,a,m,"(0,y,z)"
C m 1 1,37,4.0,b,1,"(x,y,z) (-x,y,z)"
C m 1 1,37,2.0,a,m,"(0,y,z)"
I m 1 1,38,4.0,b,1,"(x,y,z) (-x,y,z)"
I m 1 1,38,2.0,a,m,"(0,y,z)"
C 1 c 1,39,4.0,a,1,"(x,y,z) (x,-y,z+1/2)"
A 1 n 1,40,4.0,a,1,"(x,y,z) (x+1/2,-y,z+1/2)"
I 1 a 1,41,4.0,a,1,"(x,y,z) (x+1/2,-y,z)"
A 1 a 1,42,4.0,a,1,"(x,y,z) (x+1/2,-y,z)"
C 1 n 1,43,4.0,a,1,"(x,y,z) (x+1/2,-y,z+1/2)"
I 1 c 1,44,4.0,a,1,"(x,y,z) (x,-y,z+1/2)"
A 1 1 a,45,4.0,a,1,"(x,y,z) (x+1/2,y,-z)"
B 1 1 n,46,4.0,a,1,"(x,y,z) (x+1/2,y+1/2,-z)"
I 1 1 b,47,4.0,a,1,"(x,y,z) (x,y+1/2,-z)"
B 1 1 b,48,4.0,a,1,"(x,y,z) (x,y+1/2,-z)"
A 1 1 n,49,4.0,a,1,"(x,y,z) (x+1/2,y+1/2,-z)"
I 1 1 a,50,4.0,a,1,"(x,y,z) (x+1/2,y,-z)"
B b 1 1,51,4.0,a,1,"(x,y,z) (-x,y+1/2,z)"
C n 1 1,52,4.0,a,1,"(x,y,z) (-x,y+1/2,z+1/2)"
I c 1 1,53,4.0,a,1,"(x,y,z) (-x,y,z+1/2)"
C c 1 1,54,4.0,a,1,"(x,y,z) (-x,y,z+1/2)"
B n 1 1,55,4.0,a,1,"(x,y,z) (-x,y+1/2,z+1/2)"
I b 1 1,56,4.0,a,1,"(x,y,z) (-x,y+1/2,z)"
P 1 2/m 1,57,4.0,o,1,"(x,y,z) (-x,y,-z) (-x,-y,-z) (x,-y,z)"
P 1 2/m 1,57,2.0,n,m,"(x,1/2,z) (-x,1/2,-z)"
P 1 2/m 1,57,2.0,m,m,"(x,0,z) (-x,0,-z)"
P 1 2/m 1,57,2.0,l,2,"(1/2,y,1/2) (1/2,-y,1/2)"
P 1 2/m 1,57,2.0,k,2,"(0,y,1/2) (0,-y,1/2)"
P 1 2/m 1,57,2.0,j,2,"(1/2,y,0) (1/2,-y,0)"
P 1 2/m 1,57,2.0,i,2,"(0,y,0) (0,-y,0)"
P 1 2/m 1,57,1.0,h,2/m,"(1/2,1/2,1/2)"
P 1 2/m 1,57,1.0,g,2/m,"(1/2,0,1/2)"
P 1 2/m 1,57,1.0,f,2/m,"(0,1/2,1/2)"
P 1 2/m 1,57,1.0,e,2/m,"(1/2,1/2,0)"
P 1 2/m 1,57,1.0,d,2/m,"(1/2,0,0)"
P 1 2/m 1,57,1.0,c,2/m,"(0,0,1/2)"
P 1 2/m 1,57,1.0,b,2/m,"(0,1/2,0)"
P 1 2/m 1,57,1.0,a,2/m,"(0,0,0)"
P 1 1 2/m,58,4.0,o,1,"(x,y,z) (-x,-y,z) (-x,-y,-z) (x,y,-z)"
P 1 1 2/m,58,2.0,n,m,"(x,y,1/2) (-x,-y,1/2)"
P 1 1 2/m,58,2.0,m,m,"(x,y,0) (-x,-y,0)"
