number,multiplicity,wyckoff,wyckoff_in_space,site_symmetry,coordinates
52,8,e,g,1,"(x,y,z) (-x+1/2,-y+1/2,z) (-y+1/2,x,z) (y,-x+1/2,z) (-x,-y,-z) (x+1/2,y+1/2,-z) (y+1/2,-x,-z) (-y,x+1/2,-z)"
52,4,d,f,2..,"(1/4,3/4,z) (3/4,1/4,z) (3/4,1/4,-z) (1/4,3/4,-z)"
52,4,c,d,-1,"(0,0,0) (1/2,1/2,0) (1/2,0,0) (0, 1/2,0)"
52,2,b,c,4..,"(1/4,1/4,z) (3/4,3/4,-z)"
52,2,a,a,-4..,"(1/4,3/4,0) (3/4,1/4,0)"
53,8,j,p,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (-x,y,-z) (x,-y,-z) (y,x,-z) (-y,-x,-z)"
53,4,i,o,.2.,"(x,1/2,0) (-x,1/2,0) (1/2,x,0) (1/2,-x,0)"
53,4,h,l,.2.,"(x,0,0) (-x,0,0) (0,x,0) (0,-x,0)"
53,4,g,j,..2,"(x,x,0) (-x,-x,0) (-x,x,0) (x,-x,0)"
53,4,f,i,2..,"(0,1/2,z) (1/2,0,z) (0,1/2,-z) (1/2,0,-z)"
53,2,e,h,4..,"(1/2,1/2,z) (1/2,1/2,-z)"
53,2,d,g,4..,"(0,0,z) (0,0,-z)"
53,2,c,e,222,"(1/2,0,0) (0,1/2,0)"
53,1,b,c,422,"(1/2,1/2,0)"
53,1,a,a,422,"(0,0,0)"
54,8,e,g,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (-x+1/2,y+1/2,-z) (x+1/2,-y+1/2,-z) (y+1/2,x+1/2,-z) (-y+1/2,-x+1/2,-z)"
54,4,d,e,..2,"(x,x+1/2,0) (-x,-x+1/2,0) (-x+1/2,x,0) (x+1/2,-x,0)"
54,4,c,d,2..,"(0,1/2,z) (1/2,0,z) (1/2,0,-z) (0,1/2,-z)"
54,2,b,c,4..,"(0,0,z) (1/2,1/2,-z)"
54,2,a,a,2.22,"(0,1/2,0) (1/2,0,0)"
55,8,g,g,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (x,-y,z) (-x,y,z) (-y,-x,z) (y,x,z)"
55,4,f,f,.m.,"(x,1/2,z) (-x,1/2,z) (1/2,x,z) (1/2,-x,z)"
55,4,e,e,.m.,"(x,0,z) (-x,0,z) (0,x,z) (0,-x,z)"
55,4,d,d,..m,"(x,x,z) (-x,-x,z) (-x,x,z) (x,-x,z)"
55,2,c,c,2mm.,"(1/2,0,z) (0,1/2,z)"
55,1,b,b,4mm,"(1/2,1/2,z)"
55,1,a,a,4mm,"(0,0,z)"
56,8,d,d,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (x+1/2,-y+1/2,z) (-x+1/2,y+1/2,z) (-y+1/2,-x+1/2,z) (y+1/2,x+1/2,z)"
56,4,c,c,..m,"(x,x+1/2,z) (-x,-x+1/2,z) (-x+1/2,x,z) (x+1/2,-x,z)"
56,2,b,b,2.mm,"(1/2,0,z) (0,1/2,z)"
56,2,a,a,4..,"(0,0,z) (1/2,1/2,z)"
57,8,j,o,1,"(x,y,z) (-x,-y,z) (y,-x,-z) (-y,x,-z) (-x,y,-z) (x,-y,-z) (-y,-x,z) (y,x,z)"
57,4,i,n,..m,"(x,x,z) (-x,-x,z) (x,-x,-z) (-x,x,-z)"
57,4,h,m,2..,"(0,1/2,z) (1/2,0,-z) (0,1/2,-z) (1/2,0,z)"
57,4,g,l,.2.,"(x,1/2,0) (-x,1/2,0) (1/2,-x,0) (1/2,x,0)"
57,4,f,i,.2.,"(x,0,0) (-x,0,0) (0,-x,0) (0,x,0)"
57,2,e,h,2.mm,"(1/2,1/2,z) (1/2,1/2,-z)"
57,2,d,g,2.mm,"(0,0,z) (0,0,-z)"
57,2,c,e,222,"(1/2,0,0) (0,1/2,0)"
57,1,b,d,-42m,"(1/2,1/2,0)"
57,1,a,a,-42m,"(0,0,0)"
58,8,e,f,1,"(x,y,z) (-x,-y,z) (y,-x,-z) (-y,x,-z) (-x+1/2,y+1/2,-z) (x+1/2,-y+1/2,-z) (-y+1/2,-x+1/2,z) (y+1/2,x+1/2,z)"
58,4,d,e,..m,"(x,x+1/2,z) (-x,-x+1/2,z) (x+1/2,-x,-z) (-x+1/2,x,-z)"
58,4,c,d,2..,"(0,0,z) (0,0,-z) (1/2,1/2,-z) (1/2,1/2,z)"
58,2,b,c,2.mm,"(0,1/2,z) (1/2,0,-z)"
58,2,a,a,-4..,"(0,0,0) (1/2,1/2,0)"
59,8,i,l,1,"(x,y,z) (-x,-y,z) (y,-x,-z) (-y,x,-z) (x,-y,z) (-x,y,z) (y,x,-z) (-y,-x,-z)"
59,4,h,k,.m.,"(x,1/2,z) (-x,1/2,z) (1/2,-x,-z) (1/2,x,-z)"
59,4,g,j,.m.,"(x,0,z) (-x,0,z) (0,-x,-z) (0,x,-z)"
59,4,f,h,..2,"(x,x,0) (-x,-x,0) (x,-x,0) (-x,x,0)"
59,2,e,g,2mm.,"(0,1/2,z) (1/2,0,-z)"
59,2,d,f,2mm.,"(1/2,1/2,z) (1/2,1/2,-z)"
59,2,c,e,2mm.,"(0,0,z) (0,0,-z)"
59,1,b,b,-4m2,"(1/2,1/2,0)"
59,1,a,a,-4m2,"(0,0,0)"
60,8,f,i,1,"(x,y,z) (-x,-y,z) (y,-x,-z) (-y,x,-z) (x+1/2,-y+1/2,z) (-x+1/2,y+1/2,z) (y+1/2,x+1/2,-z) (-y+1/2,-x+1/2,-z)"
60,4,e,g,..2,"(x,x+1/2,0) (-x,-x+1/2,0) (x+1/2,-x,0) (-x+1/2,x,0)"
60,4,d,f,2..,"(0,1/2,z) (1/2,0,-z) (1/2,0,z) (0,1/2,-z)"
60,4,c,e,2..,"(0,0,z) (0,0,-z) (1/2, 1/2,z) (1/2,1/2,-z)"
60,2,b,c,2.22,"(0,1/2,0) (1/2,0,0)"
60,2,a,a,-4..,"(0,0,0) (1/2,1/2,0)"
