number,multiplicity,wyckoff,wyckoff_in_space,site_symmetry,coordinates
78,1,c,e,-6m2,"(2/3,1/3,0)"
78,1,b,c,-6m2,"(1/3,2/3,0)"
78,1,a,a,-6m2,"(0,0,0)"
79,12,h,l,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (x,y,-z) (-y,x-y,-z) (-x+y,-x,-z) (y,x,-z) (x-y,-y,-z) (-x,-x+y,-z) (y,x,z) (x-y,-y,z) (-x,-x+y,z)"
79,6,g,j,m..,"(x,y,0) (-y,x-y,0) (-x+y,-x,0) (y,x,0) (x-y,-y,0) (-x,-x+y,0)"
79,6,f,i,..m,"(x,0,z) (0,x,z) (-x,-x,z) (x,0,-z) (0,x,-z) (-x,-x,-z)"
79,4,e,h,3..,"(1/3,2/3,z) (1/3,2/3,-z) (2/3,1/3,-z) (2/3,1/3,z)"
79,3,d,f,m2m,"(x,0,0) (0,x,0) (-x,-x,0)"
79,2,c,e,3.m,"(0,0,z) (0,0,-z)"
79,2,b,c,-6..,"(1/3,2/3,0) (2/3,1/3,0)"
79,1,a,a,-62m,"(0,0,0)"
80,24,l,r,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (-x,-y,z) (y,-x+y,z) (x-y,x,z) (y,x,-z) (x-y,-y,-z) (-x,-x+y,-z) (-y,-x,-z) (-x+y,y,-z) (x,x-y,-z) (-x,-y,-z) (y,-x+y,-z) (x-y,x,-z) (x,y,-z) (-y,x-y,-z) (-x+y,-x,-z) (-y,-x,z) (-x+y,y,z) (x,x-y,z) (y,x,z) (x-y,-y,z) (-x,-x+y,z)"
80,12,k,p,m..,"(x,y,0) (-y,x-y,0) (-x+y,-x,0) (-x,-y,0) (y,-x+y,0) (x-y,x,0) (y,x,0) (x-y,-y,0) (-x,-x+y,0) (-y,-x,0) (-x+y,y,0) (x,x-y,0)"
80,12,j,o,.m.,"(x,2x,z) (-2x,-x,z) (x,-x,z) (-x,-2x,z) (2x,x,z) (-x,x,z) (2x,x,-z) (-x,-2x,-z) (-x,x,-z) (-2x,-x,-z) (x,2x,-z) (x,-x,-z)"
80,12,i,n,..m,"(x,0,z) (0,x,z) (-x,-x,z) (-x,0,z) (0,-x,z) (x,x,z) (0,x,-z) (x,0,-z) (-x,-x,-z) (0,-x,-z) (-x,0,-z) (x,x,-z)"
80,6,h,l,mm2,"(x,2x,0) (-2x,-x,0) (x,-x,0) (-x,-2x,0) (2x,x,0) (-x,x,0)"
80,6,g,j,m2m,"(x,0,0) (0,x,0) (-x,-x,0) (-x,0,0) (0,-x,0) (x,x,0)"
80,6,f,i,2mm,"(1/2,0,z) (0,1/2,z) (1/2,1/2,z) (0,1/2,-z) (1/2,0,-z) (1/2,1/2,-z)"
80,4,e,h,3m.,"(1/3,2/3,z) (2/3,1/3,z) (2/3,1/3,-z) (1/3,2/3,-z)"
80,3,d,f,mmm,"(1/2,0,0) (0,1/2,0) (1/2,1/2,0)"
80,2,c,e,6mm,"(0,0,z) (0,0,-z)"
80,2,b,c,-6m2,"(1/3,2/3,0) (2/3,1/3,0)"
80,1,a,a,6/mmm,"(0,0,0)"
